Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
CID_100252,6m71,-7.1,,2020.05.18 02:38:44,Vina
CID_10220469,6m71,-6.3,,2020.05.18 02:40:20,Vina
CID_11436477,6m71,-6.3,,2020.05.18 02:41:56,Vina
CID_118596336,6m71,-7.6,,2020.05.18 02:46:51,Vina
CID_121304016,6m71,-8.2,,2020.05.18 02:57:24,Vina
CID_122108,6m71,-6.5,,2020.05.18 03:03:17,Vina
CID_124970,6m71,-7.2,,2020.05.18 03:07:34,Vina
CID_129235,6m71,-7.3,,2020.05.18 03:10:36,Vina
CID_137465280,6m71,-7.3,,2020.05.18 03:16:25,Vina
CID_137490591,6m71,-7.7,,2020.05.18 03:22:24,Vina
CID_137490593,6m71,-7.7,,2020.05.18 03:28:07,Vina
CID_137509756,6m71,-7.7,,2020.05.18 03:33:45,Vina
CID_137517260,6m71,-8.3,,2020.05.18 03:40:28,Vina
CID_137517361,6m71,-7.2,,2020.05.18 03:46:12,Vina
CID_192225_amino_sugar,6m71,-5.4,,2020.05.18 03:47:33,Vina
CID_362949,6m71,-6.5,,2020.05.18 03:49:20,Vina
CID_3652,6m71,-6.0,,2020.05.18 03:51:35,Vina
CID_37542,6m71,-6.4,,2020.05.18 03:53:14,Vina
CID_40629571,6m71,-6.5,,2020.05.18 03:54:53,Vina
CID_439186_maltose,6m71,-6.3,,2020.05.18 03:57:34,Vina
CID_451448,6m71,-6.3,,2020.05.18 03:59:23,Vina
CID_451949,6m71,-6.3,,2020.05.18 04:00:49,Vina
CID_452722,6m71,-6.0,,2020.05.18 04:02:24,Vina
CID_45375808,6m71,-7.8,,2020.05.18 04:06:35,Vina
CID_460516,6m71,-6.6,,2020.05.18 04:08:14,Vina
CID_5064,6m71,-7.0,,2020.05.18 04:09:51,Vina
CID_54759694,6m71,-7.6,,2020.05.18 04:17:10,Vina
CID_5988_sugar,6m71,-6.8,,2020.05.18 04:19:55,Vina
CID_6440764,6m71,-7.6,,2020.05.18 04:24:24,Vina
CID_6713992,6m71,-6.4,,2020.05.18 04:26:05,Vina
CID_70989848,6m71,-7.0,,2020.05.18 04:27:43,Vina
CID_71826,6m71,-6.6,,2020.05.18 04:29:41,Vina
CID_76325303,6m71,-8.5,,2020.05.18 04:36:26,Vina
CID_90055716,6m71,-8.8,,2020.05.18 04:41:25,Vina
